지역,성별,10대,20대,30대,40대,50대,60대이상
종로구,남,6407,13640,11246,12078,13479,17699
종로구,여,6483,14924,11388,12628,13472,20712
중구,남,4066,10274,11409,10369,11530,14997
중구,여,4041,11333,11110,9838,11122,17708
용산구,남,9211,17410,21584,19983,19157,24092
용산구,여,8876,18349,20754,20106,19350,30450
성동구,남,11565,24398,26833,25050,25286,29224
성동구,여,11581,25541,27189,24621,25324,35113
광진구,남,14935,31440,30964,28413,28949,32383
광진구,여,14627,35789,31417,29223,30617,38407
동대문구,남,13617,31208,27914,27974,28329,38254
동대문구,여,13522,33312,26257,26370,28315,45282
중랑구,남,15447,29265,32300,31753,35960,43654
중랑구,여,14833,29100,30397,30069,37129,51180
성북구,남,20627,34199,31552,36721,34242,43898
성북구,여,20121,37075,32139,37306,35654,55008
강북구,남,12814,22004,22724,25679,26637,37167
강북구,여,12148,22797,20789,24939,28217,46772
도봉구,남,14982,23739,23178,26082,28434,38560
도봉구,여,14238,22702,22285,26888,31346,45873
노원구,남,31183,40298,35135,44501,43535,50488
노원구,여,28728,37624,35926,48592,46438,65478
은평구,남,21835,32604,36240,39822,37983,50358
은평구,여,20732,34070,36592,40794,41123,63215
서대문구,남,13164,25567,23365,24900,24499,32015
서대문구,여,13023,30369,24057,25379,26097,40793
마포구,남,15638,29036,32679,31739,27153,31981
마포구,여,15548,36320,36004,32983,28120,41799
양천구,남,28372,31899,30875,39785,39201,41600
양천구,여,25899,30265,32087,43164,39793,48991
강서구,남,25040,42007,54416,47963,43952,55664
강서구,여,24028,46493,52985,47507,48383,68234
구로구,남,17001,28959,36936,37545,38139,44710
구로구,여,16125,29103,34710,33920,37786,51093
금천구,남,8699,19401,22042,20848,25257,26171
금천구,여,8368,17829,17820,18588,23945,29502
영등포구,남,14159,28331,38072,33464,35498,39703
영등포구,여,12640,30415,34624,30232,33902,45295
동작구,남,15854,34317,34280,31612,30068,39179
동작구,여,15253,36843,33514,31385,32817,48920
관악구,남,16835,53486,51260,39966,37101,48201
관악구,여,15943,56356,42659,35078,38282,58211
서초구,남,23748,27897,32048,38247,30630,37514
서초구,여,22898,29769,37642,42230,32348,44649
강남구,남,31753,36971,40625,47261,39434,45683
강남구,여,28824,40203,47933,53391,40161,55259
송파구,남,32723,47146,56591,54756,51557,60993
송파구,여,31025,50258,61390,58219,55644,69724
강동구,남,20498,29421,33678,34630,35033,42841
강동구,여,18298,28843,33398,34729,36929,49845
